timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-26T16:12:58+09:00,84750,2201600,0,77281,408000000,0
2025-09-26T16:13:08+09:00,84906,2201600,0,77500,510000000,0
2025-09-26T16:13:18+09:00,84968,2201600,0,77437,510000000,0
2025-09-26T16:13:28+09:00,85125,2201600,0,77500,408000000,0
2025-09-26T16:13:39+09:00,85062,2201600,0,77375,408000000,0
2025-09-26T16:13:49+09:00,85093,2201600,0,77750,408000000,0
2025-09-26T16:13:59+09:00,85125,2201600,0,77625,408000000,0
2025-09-26T16:14:09+09:00,85156,2201600,0,77875,510000000,0
2025-09-26T16:14:19+09:00,85125,2201600,0,77625,408000000,0
2025-09-26T16:14:29+09:00,85312,2201600,0,77656,408000000,0
2025-09-26T16:14:39+09:00,85281,2201600,0,77781,408000000,0
2025-09-26T16:14:50+09:00,85468,2201600,0,77875,408000000,0
2025-09-26T16:15:00+09:00,85375,2201600,0,78187,408000000,0
2025-09-26T16:15:10+09:00,85437,2201600,0,77875,408000000,0
2025-09-26T16:15:20+09:00,85687,2201600,0,77906,408000000,0
2025-09-26T16:15:30+09:00,85625,2201600,0,78250,408000000,0
2025-09-26T16:15:40+09:00,85781,2201600,0,78031,510000000,0
2025-09-26T16:15:51+09:00,85750,2201600,0,78125,408000000,0
2025-09-26T16:16:01+09:00,85937,2201600,0,78218,612000000,0
2025-09-26T16:16:11+09:00,85937,2201600,0,78343,612000000,0
2025-09-26T16:16:21+09:00,86093,2201600,0,78437,612000000,0
2025-09-26T16:16:31+09:00,85937,2201600,0,78562,612000000,0
2025-09-26T16:16:41+09:00,86093,2201600,0,78843,408000000,0
2025-09-26T16:16:51+09:00,85843,2201600,0,78562,510000000,0
2025-09-26T16:17:02+09:00,86000,2201600,0,78468,408000000,0
2025-09-26T16:17:12+09:00,86281,2201600,0,78437,408000000,0
2025-09-26T16:17:22+09:00,86125,2201600,0,78781,408000000,0
2025-09-26T16:17:32+09:00,86531,2201600,0,78843,408000000,0
2025-09-26T16:17:42+09:00,86406,2201600,0,78656,408000000,0
2025-09-26T16:17:52+09:00,86500,2201600,0,78812,408000000,0
2025-09-26T16:18:03+09:00,86468,2201600,0,78781,408000000,0
2025-09-26T16:18:13+09:00,86406,2201600,0,78968,612000000,0
2025-09-26T16:18:23+09:00,86625,2201600,0,79031,408000000,0
2025-09-26T16:18:33+09:00,86406,2201600,0,79125,408000000,0
2025-09-26T16:18:43+09:00,86562,2201600,0,79187,408000000,0
2025-09-26T16:18:53+09:00,86625,2201600,0,78937,408000000,0
