timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-29T15:34:10+09:00,74718,2201600,0,70406,1300500000,0
2025-09-29T15:34:20+09:00,75031,2201600,0,70468,1300500000,0
2025-09-29T15:34:30+09:00,74875,2201600,0,70531,1300500000,0
2025-09-29T15:34:40+09:00,74937,2201600,0,70375,1300500000,0
2025-09-29T15:34:50+09:00,75312,2201600,0,70562,1300500000,0
2025-09-29T15:35:00+09:00,75125,2201600,0,70625,1300500000,0
2025-09-29T15:35:10+09:00,75218,2201600,0,70937,1300500000,0
2025-09-29T15:35:20+09:00,75468,2201600,0,71000,1300500000,0
2025-09-29T15:35:30+09:00,75343,2201600,0,70843,1300500000,0
2025-09-29T15:35:40+09:00,75343,2201600,0,70906,1300500000,0
2025-09-29T15:35:50+09:00,75687,2201600,0,70968,1300500000,0
2025-09-29T15:36:00+09:00,75562,2201600,0,71218,1300500000,0
2025-09-29T15:36:10+09:00,75718,2201600,0,71312,1300500000,0
2025-09-29T15:36:20+09:00,75656,2201600,0,71468,1300500000,0
2025-09-29T15:36:30+09:00,75625,2201600,0,71250,1300500000,0
2025-09-29T15:36:40+09:00,75843,2201600,0,71281,1300500000,0
2025-09-29T15:36:50+09:00,75812,2201600,0,71718,1300500000,0
2025-09-29T15:37:00+09:00,76156,2201600,0,71718,1300500000,0
2025-09-29T15:37:10+09:00,75906,2201600,0,71562,1300500000,0
2025-09-29T15:37:20+09:00,75968,2201600,0,71625,1300500000,0
2025-09-29T15:37:30+09:00,76218,2201600,0,72000,1300500000,0
2025-09-29T15:37:40+09:00,75937,2201600,0,71562,1300500000,0
2025-09-29T15:37:50+09:00,76250,2201600,0,71718,1300500000,0
2025-09-29T15:38:00+09:00,76250,2201600,0,71937,1300500000,0
2025-09-29T15:38:10+09:00,76312,2201600,0,72062,1300500000,0
2025-09-29T15:38:20+09:00,76531,2201600,0,71906,1300500000,0
2025-09-29T15:38:30+09:00,76375,2201600,0,71968,1300500000,0
2025-09-29T15:38:40+09:00,76343,2201600,0,72000,1300500000,0
2025-09-29T15:38:50+09:00,76593,2201600,0,72250,1300500000,0
2025-09-29T15:39:00+09:00,76625,2201600,0,72312,1300500000,0
2025-09-29T15:39:10+09:00,76562,2201600,0,72468,1300500000,0
2025-09-29T15:39:20+09:00,76781,2201600,0,72343,1300500000,0
2025-09-29T15:39:30+09:00,76812,2201600,0,72406,1300500000,0
2025-09-29T15:39:40+09:00,77125,2201600,0,72500,1300500000,0
2025-09-29T15:39:50+09:00,76937,2201600,0,72687,1300500000,0
2025-09-29T15:40:00+09:00,76875,2201600,0,72812,1300500000,0
2025-09-29T15:40:10+09:00,77281,2201600,0,72843,1300500000,0
2025-09-29T15:40:20+09:00,76968,2201600,0,72625,1300500000,0
2025-09-29T15:40:30+09:00,77250,2201600,0,72718,1300500000,0
2025-09-29T15:40:40+09:00,77250,2201600,0,72875,1300500000,0
2025-09-29T15:40:50+09:00,77281,2201600,0,72937,1300500000,0
2025-09-29T15:41:00+09:00,77375,2201600,0,73031,1300500000,0
2025-09-29T15:41:10+09:00,77656,2201600,0,73187,1300500000,0
2025-09-29T15:41:20+09:00,77656,2201600,0,73187,1300500000,0
2025-09-29T15:41:30+09:00,77562,2201600,0,73250,1300500000,0
2025-09-29T15:41:40+09:00,77593,2201600,0,73281,1300500000,0
2025-09-29T15:41:50+09:00,77562,2201600,0,73375,1300500000,0
2025-09-29T15:42:00+09:00,77843,2201600,0,73468,1300500000,0
2025-09-29T15:42:10+09:00,77781,2201600,0,73500,1300500000,0
2025-09-29T15:42:20+09:00,77750,2201600,0,73500,1300500000,0
2025-09-29T15:42:30+09:00,78000,2201600,0,73656,1300500000,0
2025-09-29T15:42:40+09:00,77875,2201600,0,73687,1300500000,0
2025-09-29T15:42:50+09:00,77906,2201600,0,73625,1300500000,0
2025-09-29T15:43:00+09:00,78125,2201600,0,73625,1300500000,0
2025-09-29T15:43:10+09:00,78156,2201600,0,73750,1300500000,0
2025-09-29T15:43:20+09:00,78062,2201600,0,73750,1300500000,0
2025-09-29T15:43:30+09:00,78250,2201600,0,74125,1300500000,0
2025-09-29T15:43:40+09:00,78218,2201600,0,73812,1300500000,0
2025-09-29T15:43:50+09:00,78500,2201600,0,73875,1300500000,0
2025-09-29T15:44:00+09:00,78406,2201600,0,73812,1300500000,0
2025-09-29T15:44:10+09:00,78312,2201600,0,74031,1300500000,0
2025-09-29T15:44:20+09:00,78750,2201600,0,74093,1300500000,0
2025-09-29T15:44:30+09:00,78593,2201600,0,74125,1300500000,0
2025-09-29T15:44:40+09:00,78562,2201600,0,74343,1300500000,0
2025-09-29T15:44:50+09:00,78937,2201600,0,74062,1300500000,0
2025-09-29T15:45:00+09:00,78781,2201600,0,74187,1300500000,0
2025-09-29T15:45:10+09:00,78687,2201600,0,74250,1300500000,0
2025-09-29T15:45:20+09:00,78968,2201600,0,74531,1300500000,0
2025-09-29T15:45:30+09:00,78750,2201600,0,74593,1300500000,0
2025-09-29T15:45:40+09:00,78718,2201600,0,74625,1300500000,0
2025-09-29T15:45:50+09:00,79031,2201600,0,74468,1300500000,0
2025-09-29T15:46:00+09:00,78906,2201600,0,74531,1300500000,0
2025-09-29T15:46:10+09:00,78937,2201600,0,74562,1300500000,0
2025-09-29T15:46:20+09:00,79187,2201600,0,74625,1300500000,0
2025-09-29T15:46:30+09:00,79125,2201600,0,75000,1300500000,0
2025-09-29T15:46:40+09:00,79031,2201600,0,75062,1300500000,0
2025-09-29T15:46:50+09:00,79343,2201600,0,74781,1300500000,0
2025-09-29T15:47:00+09:00,79218,2201600,0,74937,1300500000,0
2025-09-29T15:47:10+09:00,79250,2201600,0,75062,1300500000,0
2025-09-29T15:47:20+09:00,79562,2201600,0,75125,1300500000,0
2025-09-29T15:47:30+09:00,79656,2201600,0,74968,1300500000,0
2025-09-29T15:47:40+09:00,79500,2201600,0,74968,1300500000,0
2025-09-29T15:47:50+09:00,79625,2201600,0,75000,1300500000,0
2025-09-29T15:48:00+09:00,79468,2201600,0,75062,1300500000,0
2025-09-29T15:48:10+09:00,79593,2201600,0,75375,1300500000,0
2025-09-29T15:48:20+09:00,79593,2201600,0,75437,1300500000,0
2025-09-29T15:48:30+09:00,79968,2201600,0,75468,1300500000,0
2025-09-29T15:48:40+09:00,79750,2201600,0,75406,1300500000,0
2025-09-29T15:48:50+09:00,79781,2201600,0,75375,1300500000,0
2025-09-29T15:49:00+09:00,80000,2201600,0,75406,1300500000,0
2025-09-29T15:49:10+09:00,79937,2201600,0,75718,1300500000,0
2025-09-29T15:49:20+09:00,79843,2201600,0,75875,1300500000,0
2025-09-29T15:49:30+09:00,80156,2201600,0,75593,1300500000,0
2025-09-29T15:49:40+09:00,80093,2201600,0,75687,1300500000,0
2025-09-29T15:49:50+09:00,80062,2201600,0,76000,1300500000,0
2025-09-29T15:50:00+09:00,80156,2201600,0,76031,1300500000,0
2025-09-29T15:50:10+09:00,80437,2201600,0,75812,1300500000,0
2025-09-29T15:50:20+09:00,80312,2201600,0,76156,1300500000,0
2025-09-29T15:50:30+09:00,80250,2201600,0,75875,1300500000,0
2025-09-29T15:50:40+09:00,80312,2201600,0,76031,1300500000,0
2025-09-29T15:50:50+09:00,80281,2201600,0,75875,1300500000,0
2025-09-29T15:51:00+09:00,80562,2201600,0,76125,1300500000,0
2025-09-29T15:51:10+09:00,80656,2201600,0,76187,1300500000,0
2025-09-29T15:51:20+09:00,80593,2201600,0,76062,1300500000,0
2025-09-29T15:51:30+09:00,80531,2201600,0,76187,1300500000,0
2025-09-29T15:51:40+09:00,80687,2201600,0,76343,1300500000,0
2025-09-29T15:51:50+09:00,80656,2201600,0,76218,1300500000,0
2025-09-29T15:52:00+09:00,80750,2201600,0,76312,1300500000,0
2025-09-29T15:52:10+09:00,80875,2201600,0,76343,1300500000,0
2025-09-29T15:52:20+09:00,80812,2201600,0,76562,1300500000,0
2025-09-29T15:52:30+09:00,80718,2201600,0,76718,1300500000,0
2025-09-29T15:52:40+09:00,81031,2201600,0,76781,1300500000,0
2025-09-29T15:52:50+09:00,81187,2201600,0,76562,1300500000,0
2025-09-29T15:53:00+09:00,81062,2201600,0,76593,1300500000,0
2025-09-29T15:53:10+09:00,81031,2201600,0,76656,1300500000,0
2025-09-29T15:53:20+09:00,81187,2201600,0,76937,1300500000,0
2025-09-29T15:53:30+09:00,81156,2201600,0,76968,1300500000,0
2025-09-29T15:53:41+09:00,81250,2201600,0,77062,1300500000,0
2025-09-29T15:53:51+09:00,81187,2201600,0,77187,1300500000,0
2025-09-29T15:54:01+09:00,82937,2201600,0,77375,1300500000,0
2025-09-29T15:54:11+09:00,82000,2201600,0,76968,1300500000,0
